Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Engine volume,Mileage_km,Cylinders,Doors,Wheel,Color,Airbags,turbo,Fuel type_CNG,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_Hydrogen,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid,Drive wheels_4x4,Drive wheels_Front,Drive wheels_Rear,Gear box type_Automatic,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator
13328,1399,LEXUS,RX 450,2010,Jeep,1,3.5,186005,6.0,4,Left wheel,Silver,12,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
16621,1018,CHEVROLET,Equinox,2011,Jeep,0,3.0,192000,6.0,4,Left wheel,Black,8,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False
8467,632,HONDA,FIT,2006,Hatchback,0,1.3,200000,4.0,4,Right-hand drive,Black,2,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True
3607,862,FORD,Escape,2011,Jeep,1,2.5,168966,4.0,4,Left wheel,White,0,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
11726,446,HONDA,FIT,2014,Hatchback,1,1.3,91901,4.0,4,Left wheel,Silver,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
39493,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,160931,4.0,4,Left wheel,White,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
1803,761,TOYOTA,Prius,2010,Hatchback,1,1.8,258909,4.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
549,751,HYUNDAI,Sonata,2013,Sedan,1,2.4,216118,4.0,4,Left wheel,Grey,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
1098,394,TOYOTA,Camry,2014,Sedan,1,2.5,398069,4.0,4,Left wheel,Black,12,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
26657,632,LEXUS,RX 350,2007,Jeep,1,3.5,128500,6.0,4,Left wheel,Silver,12,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
941,1053,MERCEDES-BENZ,E 350,2014,Sedan,1,3.5,184467,6.0,4,Left wheel,White,12,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False
8781,632,FORD,Transit,1999,Microbus,0,4.0,0,8.0,2,Left wheel,Blue,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False
3000,632,OPEL,Vectra,1997,Goods wagon,0,1.6,350000,4.0,4,Left wheel,White,4,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False
1019,1055,LEXUS,RX 450,2013,Jeep,1,3.5,138038,6.0,4,Left wheel,White,12,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False
59464,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,76000,4.0,4,Left wheel,White,4,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False
549,1079,TOYOTA,CHR,2018,Jeep,1,2.0,74146,4.0,4,Left wheel,White,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
7683,810,HYUNDAI,Elantra,2016,Sedan,1,1.8,121840,4.0,4,Left wheel,Blue,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
28382,810,HYUNDAI,Elantra,2016,Sedan,1,1.8,54317,4.0,4,Left wheel,White,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
549,2386,HYUNDAI,Sonata,2006,Sedan,1,3.3,295059,6.0,4,Left wheel,Blue,12,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False
941,1850,LEXUS,RX 400,2008,Jeep,1,3.5,364523,6.0,4,Left wheel,Black,12,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False
18826,531,HYUNDAI,Elantra,2012,Sedan,1,1.6,112645,4.0,4,Left wheel,Silver,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
20698,586,TOYOTA,Prius,2012,Sedan,1,1.8,187000,4.0,4,Left wheel,White,12,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False
17562,1249,TOYOTA,Camry,2017,Sedan,1,2.5,39709,4.0,4,Left wheel,Black,12,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
7840,632,FORD,Transit,2001,Microbus,0,2.0,230000,4.0,2,Left wheel,White,0,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False
4704,632,OPEL,Vectra,1995,Sedan,0,1.8,0,4.0,4,Left wheel,Green,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
20385,632,MERCEDES-BENZ,E 220,2006,Sedan,1,2.2,210000,4.0,4,Left wheel,Black,8,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False
549,2455,LEXUS,GX 470,2008,Jeep,1,4.7,0,8.0,4,Left wheel,White,0,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False
14454,583,HYUNDAI,Elantra,2011,Sedan,1,1.6,158787,4.0,4,Left wheel,Silver,4,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False
